Product Name,Image File,Category
Head & Shoulders,Head and Sholders.jpg,Cosmetics
Pantene,Pantene.jpg,Cosmetics
Pert Plus, Pert Plus.jpg,Cosmetics
Himalaya,Himalaya.jpg,Cosmetics
Silvkrin,Silvkrin.jpg,Cosmetics
Clear,Clear.jpg,Cosmetics
Dove,Dove.png,Cosmetics
Sunsilk,Sunsilk.jpg,Cosmetics
Fair&Lovely,Fair and Lovely.jpg,Cosmetics
Fair&Handsom,Fair and Handsome.jpg,Cosmetics
Nivea,Nivea.jpg,Cosmetics
Vatica,Vatika.jpg,Cosmetics
Parachute,Parachute.jpg,Cosmetics
Johnson,Johnson.jpg,Cosmetics
Vaseline,Vaseline.jpg,Cosmetics
Lux,Lux.jpg,Cosmetics
Cleopatra,Cleopatra.jpg,Cosmetics
Dettol,Dettol.jpg,Cosmetics
Imperial,Imperial.jpg,Cosmetics
Rexona,Rexona.jpg,Cosmetics
Gillette,Gillette.jpg,Cosmetics
Lifebuoy,Lifebuoy.jpg,Cosmetics
Cinthol,Cinthol.jpg,Cosmetics
Palmolive,Palmolive.jpg,Cosmetics
Jergens,Jergens.jpg,Cosmetics
Enchanter,Enchanter.jpg,Cosmetics
Vicks,Vicks.jpg,Cosmetics
Closeup,Closeup.jpg,Cosmetics
Colgate,Colgate.jpg,Cosmetics
Signal,Signal.jpg,Cosmetics
Pepsodent,Pepsodent.jpg,Cosmetics
Crest,Crest.jpg,Cosmetics
Nair,Nair.jpg,Cosmetics
Ponds,Ponds.jpg,Cosmetics
Yardly,Yardly.jpg,Cosmetics
